Age _x000D_,Reservoir _x000D_,Sub reservoir _x000D_,Parasequence Sets _x000D_,Depositional environment _x000D_
Middle Miocene _x000D_,Main Seal (MS) Chum Saeng _x000D_,,,Open lacustrine _x000D_
,LKU-K _x000D_,K1 _x000D_,"K1, K1.1, K1.2 _x000D_",Lower deltaic _x000D_
Lower Miocene _x000D_,,K2 _x000D_,"K2, K2.1, K2.2, K2.3, K2.4, K2.5 _x000D_",Lower deltaic _x000D_
,,K3 _x000D_,"K3, K3.1, K3.2, K3.3 _x000D_",Floodplain _x000D_
,,K4 _x000D_,"K4, K4.1, K4.2, K4.3, K4.4 _x000D_",Lower deltaic _x000D_
,Upper Intermediate Seal (UIS) Chum Saeng _x000D_, _x000D_,,Open lacustrine _x000D_
,LKU-L _x000D_,L1 _x000D_,"L1, L1.1, L1.2 _x000D_",Lower deltaic _x000D_
,,L2 _x000D_,"L2, L2.1, L2.1, L2.2, L2.3 _x000D_",Lower deltaic _x000D_
,,L3 _x000D_,"L3, L3.1, L3.2, L3.3 _x000D_",Floodplain _x000D_
,,L4 _x000D_,"L4, L4.1, L4.2 _x000D_",Lower deltaic _x000D_
,Lower Intermediate Seal (LIS) Chum Saeng _x000D_,,,Open lacustrine _x000D_
