No. of core plug _x000D_,"Diameter, cm _x000D_","Length, cm _x000D_","Porosity, % _x000D_","Permeability, md _x000D_"
1 _x000D_,3.92 _x000D_,6.97 _x000D_,18.5 _x000D_,325 _x000D_
2 _x000D_,3.92 _x000D_,7.55 _x000D_,17.1 _x000D_,368 _x000D_
3 _x000D_,3.93 _x000D_,6.84 _x000D_,17.6 _x000D_,291 _x000D_
4 _x000D_,3.90 _x000D_,6.51 _x000D_,17.9 _x000D_,355 _x000D_
5 _x000D_,3.90 _x000D_,8.02 _x000D_,20.1 _x000D_,421 _x000D_
6 _x000D_,3.92 _x000D_,7.89 _x000D_,19.5 _x000D_,432 _x000D_
7 _x000D_,3.90 _x000D_,8.12 _x000D_,19.7 _x000D_,390 _x000D_
8 _x000D_,3.91 _x000D_,7.91 _x000D_,18.3 _x000D_,328 _x000D_
9 _x000D_,3.92 _x000D_,6.77 _x000D_,20.4 _x000D_,539 _x000D_
10 _x000D_,3.93 _x000D_,7.36 _x000D_,18.9 _x000D_,483 _x000D_
