Core plug _x000D_,Type of injected water _x000D_,Initial water saturation _x000D_,Residual oil saturation _x000D_,Oil relative permeability at initial water saturation _x000D_,Water relative permeability at residual oil saturation _x000D_,Corey exponent for oil _x000D_,Corey exponent for water _x000D_
,,Swi _x000D_,Sor _x000D_,krowi _x000D_,krwor _x000D_,no _x000D_,nw _x000D_
No. 1 _x000D_,HSW _x000D_,0.201 _x000D_,0.325 _x000D_,0.99 _x000D_,0.103 _x000D_,2.2 _x000D_,1.3 _x000D_
,LSW _x000D_,0.201 _x000D_,0.322 _x000D_,0.99 _x000D_,0.061 _x000D_,2.2 _x000D_,2.5 _x000D_
No. 2 _x000D_,HSW _x000D_,0.146 _x000D_,0.274 _x000D_,0.99 _x000D_,0.089 _x000D_,2.0 _x000D_,1.8 _x000D_
,LSW _x000D_,0.144 _x000D_,0.270 _x000D_,0.99 _x000D_,0.024 _x000D_,2.0 _x000D_,3.0 _x000D_
No. 3 _x000D_,HSW _x000D_,0.235 _x000D_,0.286 _x000D_,0.97 _x000D_,0.119 _x000D_,2.0 _x000D_,1.4 _x000D_
,LSW _x000D_,0.235 _x000D_,0.285 _x000D_,0.98 _x000D_,0.061 _x000D_,2.0 _x000D_,2.2 _x000D_
No. 4 _x000D_,HSW _x000D_,0.083 _x000D_,0.580 _x000D_,1.00 _x000D_,0.062 _x000D_,2.5 _x000D_,1.2 _x000D_
,LSW _x000D_,0.080 _x000D_,0.564 _x000D_,1.00 _x000D_,0.024 _x000D_,2.5 _x000D_,2.7 _x000D_
No. 5 _x000D_,HSW _x000D_,0.152 _x000D_,0.341 _x000D_,0.99 _x000D_,0.051 _x000D_,2.1 _x000D_,1.1 _x000D_
,LSW _x000D_,0.150 _x000D_,0.314 _x000D_,0.99 _x000D_,0.019 _x000D_,2.1 _x000D_,2.6 _x000D_
No. 6 _x000D_,HSW _x000D_,0.126 _x000D_,0.236 _x000D_,0.95 _x000D_,0.078 _x000D_,1.8 _x000D_,1.5 _x000D_
,LSW _x000D_,0.126 _x000D_,0.235 _x000D_,0.96 _x000D_,0.020 _x000D_,1.8 _x000D_,2.3 _x000D_
No. 7 _x000D_,HSW _x000D_,0.098 _x000D_,0.469 _x000D_,0.98 _x000D_,0.087 _x000D_,2.0 _x000D_,1.4 _x000D_
,LSW _x000D_,0.097 _x000D_,0.463 _x000D_,0.98 _x000D_,0.040 _x000D_,2.0 _x000D_,1.9 _x000D_
No. 8 _x000D_,HSW _x000D_,0.188 _x000D_,0.195 _x000D_,0.96 _x000D_,0.071 _x000D_,2.2 _x000D_,1.8 _x000D_
,LSW _x000D_,0.188 _x000D_,0.194 _x000D_,0.97 _x000D_,0.015 _x000D_,2.2 _x000D_,3.2 _x000D_
No. 9 _x000D_,HSW _x000D_,0.269 _x000D_,0.260 _x000D_,0.95 _x000D_,0.065 _x000D_,2.8 _x000D_,1.6 _x000D_
,LSW _x000D_,0.265 _x000D_,0.234 _x000D_,0.95 _x000D_,0.021 _x000D_,2.8 _x000D_,2.5 _x000D_
No. 10 _x000D_,HSW _x000D_,0.224 _x000D_,0.206 _x000D_,1.00 _x000D_,0.111 _x000D_,2.3 _x000D_,1.1 _x000D_
,LSW _x000D_,0.223 _x000D_,0.205 _x000D_,1.00 _x000D_,"0,042 _x000D_",2.3 _x000D_,2.1 _x000D_
Average _x000D_,HSW _x000D_,0.172 _x000D_,0.317 _x000D_,0.98 _x000D_,0.084 _x000D_,2.2 _x000D_,1.4 _x000D_
,LSW _x000D_,0.171 _x000D_,0.309 _x000D_,0.98 _x000D_,0.032 _x000D_,2.2 _x000D_,2.5 _x000D_
