Reservoir length  _x000D_,= 500 ft divided into 10 blocks of equal length (50 ft each) _x000D_
Reservoir width  _x000D_,= 500 ft divided into 10 blocks of equal length (50 ft each) _x000D_
Total thickness of reservoir  _x000D_,= 50 ft _x000D_
Number of layers  _x000D_,= 25 _x000D_
Thickness of each layer  _x000D_,= 2 ft _x000D_
Depth to top of reservoir  _x000D_,= 1000 ft _x000D_
VDP range  _x000D_,= 0.6 – 0.9 _x000D_
Injection rate  _x000D_,= 250 STB/day _x000D_
Oil Formation Volume Factor _x000D_,= 1.100 RB/STB _x000D_
Oil Density  _x000D_,= 54.31 lb/ft3 _x000D_
Oil Viscosity _x000D_,= 0.95 cp _x000D_
Water Formation Volume Factor  _x000D_,= 1.0034 RB/STB _x000D_
Water Density _x000D_,= 62.998 lb/ft3 _x000D_
Water Viscosity _x000D_,= 0.96 cp _x000D_
Number of wells  _x000D_,= 2; one injector and one producer _x000D_
