Layer _x000D_,"k, mD _x000D_","φ, fraction _x000D_"
1 _x000D_,0.72 _x000D_,0.008 _x000D_
2 _x000D_,2.02 _x000D_,0.03 _x000D_
3 _x000D_,4.01 _x000D_,0.06 _x000D_
4 _x000D_,6.88 _x000D_,0.08 _x000D_
5 _x000D_,10.84 _x000D_,0.09 _x000D_
6 _x000D_,16.20 _x000D_,0.11 _x000D_
7 _x000D_,23.36 _x000D_,0.12 _x000D_
8 _x000D_,32.86 _x000D_,0.13 _x000D_
9 _x000D_,45.38 _x000D_,0.15 _x000D_
10 _x000D_,61.83 _x000D_,0.16 _x000D_
11 _x000D_,83.48 _x000D_,0.17 _x000D_
12 _x000D_,112.07 _x000D_,0.18 _x000D_
13 _x000D_,150.00 _x000D_,0.19 _x000D_
14 _x000D_,200.92 _x000D_,0.20 _x000D_
15 _x000D_,269.85 _x000D_,0.21 _x000D_
16 _x000D_,364.46 _x000D_,0.22 _x000D_
17 _x000D_,496.64 _x000D_,0.23 _x000D_
18 _x000D_,685.56 _x000D_,0.24 _x000D_
19 _x000D_,963.58 _x000D_,0.26 _x000D_
20 _x000D_,1389.96 _x000D_,0.27 _x000D_
21 _x000D_,2080.51 _x000D_,0.28 _x000D_
22 _x000D_,3284.55 _x000D_,0.30 _x000D_
23 _x000D_,5640.43 _x000D_,0.32 _x000D_
24 _x000D_,11261.37 _x000D_,0.35 _x000D_
25 _x000D_,32038.90 _x000D_,0.38 _x000D_
