 Layer _x000D_,"k, mD _x000D_","φ, fraction _x000D_"
1 _x000D_,0.29 _x000D_,0.009 _x000D_
2 _x000D_,0.98 _x000D_,0.01 _x000D_
3 _x000D_,2.20 _x000D_,0.04 _x000D_
4 _x000D_,4.12 _x000D_,0.06 _x000D_
5 _x000D_,7.00 _x000D_,0.08 _x000D_
6 _x000D_,11.18 _x000D_,0.10 _x000D_
7 _x000D_,17.14 _x000D_,0.11 _x000D_
8 _x000D_,25.52 _x000D_,0.13 _x000D_
9 _x000D_,37.18 _x000D_,0.14 _x000D_
10 _x000D_,53.35 _x000D_,0.15 _x000D_
11 _x000D_,75.73 _x000D_,0.16 _x000D_
12 _x000D_,106.76 _x000D_,0.18 _x000D_
13 _x000D_,150.00 _x000D_,0.19 _x000D_
14 _x000D_,210.97 _x000D_,0.20 _x000D_
15 _x000D_,297.63 _x000D_,0.21 _x000D_
16 _x000D_,422.64 _x000D_,0.23 _x000D_
17 _x000D_,606.42 _x000D_,0.24 _x000D_
18 _x000D_,883.28 _x000D_,0.25 _x000D_
19 _x000D_,1313.86 _x000D_,0.27 _x000D_
20 _x000D_,2014.57 _x000D_,0.28 _x000D_
21 _x000D_,3225.56 _x000D_,0.30 _x000D_
22 _x000D_,5495.83 _x000D_,0.32 _x000D_
23 _x000D_,10330.18 _x000D_,0.34 _x000D_
24 _x000D_,23153.25 _x000D_,0.37 _x000D_
25 _x000D_,78518.16 _x000D_,0.42 _x000D_
