No. _x000D_,Noise_1 _x000D_,Noise_2 _x000D_,Noise_3 _x000D_,Noise_4 _x000D_,Noise_5 _x000D_
1 _x000D_,0.11 _x000D_,0.12 _x000D_,0.10 _x000D_,0.13 _x000D_,0.10 _x000D_
2 _x000D_,0.47 _x000D_,0.46 _x000D_,0.50 _x000D_,0.45 _x000D_,0.49 _x000D_
3 _x000D_,1.18 _x000D_,1.20 _x000D_,1.19 _x000D_,1.22 _x000D_,1.19 _x000D_
4 _x000D_,2.33 _x000D_,2.67 _x000D_,2.29 _x000D_,2.64 _x000D_,2.32 _x000D_
5 _x000D_,4.06 _x000D_,4.10 _x000D_,4.01 _x000D_,5.01 _x000D_,5.15 _x000D_
6 _x000D_,9.32 _x000D_,8.46 _x000D_,7.59 _x000D_,6.41 _x000D_,8.98 _x000D_
7 _x000D_,11.49 _x000D_,15.47 _x000D_,10.65 _x000D_,14.23 _x000D_,14.55 _x000D_
8 _x000D_,17.00 _x000D_,16.32 _x000D_,25.13 _x000D_,23.52 _x000D_,17.06 _x000D_
9 _x000D_,34.13 _x000D_,27.54 _x000D_,29.59 _x000D_,33.78 _x000D_,37.94 _x000D_
10 _x000D_,31.51 _x000D_,55.06 _x000D_,54.16 _x000D_,66.15 _x000D_,60.26 _x000D_
11 _x000D_,58.36 _x000D_,51.34 _x000D_,72.67 _x000D_,104.66 _x000D_,52.50 _x000D_
12 _x000D_,163.13 _x000D_,69.26 _x000D_,132.97 _x000D_,98.64 _x000D_,68.76 _x000D_
13 _x000D_,96.52 _x000D_,101.60 _x000D_,100.23 _x000D_,168.99 _x000D_,224.01 _x000D_
14 _x000D_,147.99 _x000D_,372.36 _x000D_,253.53 _x000D_,375.17 _x000D_,177.46 _x000D_
15 _x000D_,239.54 _x000D_,368.16 _x000D_,268.46 _x000D_,391.03 _x000D_,565.66 _x000D_
16 _x000D_,886.14 _x000D_,530.49 _x000D_,827.45 _x000D_,902.73 _x000D_,332.85 _x000D_
17 _x000D_,1074.30 _x000D_,733.74 _x000D_,1036.31 _x000D_,955.58 _x000D_,1014.80 _x000D_
18 _x000D_,939.60 _x000D_,1974.45 _x000D_,1074.00 _x000D_,1305.15 _x000D_,1022.84 _x000D_
19 _x000D_,1214.02 _x000D_,1341.44 _x000D_,1092.56 _x000D_,2802.85 _x000D_,1197.53 _x000D_
20 _x000D_,2047.55 _x000D_,1916.31 _x000D_,5137.69 _x000D_,1818.01 _x000D_,5106.97 _x000D_
21 _x000D_,5036.97 _x000D_,5580.45 _x000D_,6207.28 _x000D_,5214.82 _x000D_,4223.04 _x000D_
22 _x000D_,4279.05 _x000D_,22866.76 _x000D_,22558.14 _x000D_,14231.46 _x000D_,22713.42 _x000D_
23 _x000D_,24343.54 _x000D_,11647.50 _x000D_,11039.24 _x000D_,33797.79 _x000D_,23396.36 _x000D_
24 _x000D_,35808.70 _x000D_,102088.32 _x000D_,62561.57 _x000D_,28821.71 _x000D_,21446.30 _x000D_
25 _x000D_,188663.14 _x000D_,84578.96 _x000D_,330776.33 _x000D_,61267.35 _x000D_,58894.97 _x000D_
