"TABLE 1-HEWITT UNIT RESERVOIR _x000D_General _x000D_Unit area, acre _x000D_","DATA _x000D_2,610 _x000D_"
"Floodable net sand volume, acre-ft _x000D_","284,700 _x000D_"
"Average composite thickness, ft _x000D_(22 separate sand reservoirs) _x000D_",109 _x000D_
"OOIP, MMbbl _x000D_",350.8 _x000D_
Rock Properties _x000D_,
"Permeability, md _x000D_",184 _x000D_
"Porosity, 0/o _x000D_",21.0 _x000D_
"Connate water, 0/o _x000D_",23.0 _x000D_
Lorenz coefficient _x000D_,0.49 _x000D_
Permeability variation _x000D_,0.726 _x000D_
Fluid Properties _x000D_,
Mobility ratio _x000D_,4.0 _x000D_
"Original reservoir pressure, psig _x000D_",905 _x000D_
"Reservoir temperature, °F _x000D_",96 _x000D_
"Original FVF, RB/STB _x000D_",1.13 _x000D_
"Flood start FVF, RB/STB _x000D_",1.02 _x000D_
"Oil stock-tank gravity, 0API _x000D_",35 _x000D_
"Oil viscosity, cp _x000D_",8.7 _x000D_
"Original dissolved GOA, cu ft/STB _x000D_",253 _x000D_
Primary recovery mechanism _x000D_,solution-gas drive gravity drainage _x000D_
