,,,,Viscosity in Centipoise _x000D_,,,,
Temp_x000D_,°C _x000D_,Temp_x000D_,°F _x000D_,B07 0-3 _x000D_,B07 4-8 _x000D_,KR Condensate _x000D_,,
25 _x000D_,,,77 _x000D_,3.52 _x000D_,6.02 _x000D_,3.44 _x000D_,,
48.9 _x000D_,,,120 _x000D_,1.85 _x000D_,3.47 _x000D_,1._x000D_,89 _x000D_,
60 _x000D_,,,140 _x000D_,1.57 _x000D_,2.62 _x000D_,1._x000D_,38 _x000D_,
71.1 _x000D_160 1.36 2.11 _x000D_TABLES _x000D_Molecular Weights of Overheads from Steam _x000D_,,,,,,Distillation Runs _x000D_1.12 _x000D_,,
Distillate # _x000D_,300_x000D_B07_x000D_,°F _x000D_° _x000D_,300_x000D_B08_x000D_,°F ° _x000D_400°F B09 _x000D_,400°F BIO _x000D_,300-500°F _x000D_B04 _x000D_,300-500°F B12 _x000D_,400-500°F _x000D_Bl3 _x000D_
1 _x000D_,,_b _x000D_,17_x000D_,7 _x000D_210 _x000D_,210 _x000D_,_b _x000D_,162 _x000D_,.c _x000D_
2 _x000D_,,181 _x000D_,_c _x000D_,218 _x000D_,206 _x000D_,232 _x000D_,174 _x000D_,_c _x000D_
3 _x000D_,19_x000D_,5 _x000D_,19_x000D_,4 _x000D_233 _x000D_,218 _x000D_,248 _x000D_,167 _x000D_,_c _x000D_
4 _x000D_,,204 _x000D_,_c _x000D_,231 _x000D_,223 _x000D_,255 _x000D_,175 _x000D_,185 _x000D_
5 _x000D_,,219 _x000D_,207 _x000D_,_b _x000D_,_b _x000D_,269 _x000D_,192 _x000D_,189 _x000D_
6 _x000D_,224 _x000D_,,_c _x000D_,257 _x000D_,237 _x000D_,266 _x000D_,196 _x000D_,202 _x000D_
7 _x000D_,,_b _x000D_,216 _x000D_,244 _x000D_,239 _x000D_,261 _x000D_,216 _x000D_,208 _x000D_
8 _x000D_,,230 _x000D_,_c _x000D_,251 _x000D_,253 _x000D_,,,
9 _x000D_,,230 _x000D_,221 _x000D_,_b _x000D_,268 _x000D_,,,
10 _x000D_,,,_c _x000D_,262 _x000D_,241 _x000D_,,,
11 _x000D_,,,225 _x000D_,258 _x000D_,246 _x000D_,,,
12 _x000D_,,,_c _x000D_,291 _x000D_,279 _x000D_,,,
13 _x000D_,,,231 _x000D_,286 _x000D_,271 _x000D_,,,
14 _x000D_,,,_c _x000D_,277 _x000D_,247 _x000D_,,,
15 _x000D_,,,236 _x000D_,,,,,
Resid _x000D_,,,523 _x000D_,,,,,
