TABLE2 _x000D_Summary of Steam Distillation Run Conditions _x000D_,,,,,,
Run ID _x000D_,Typea _x000D_,Temp Condition _x000D_,"Taviz, °F _x000D_","Paviz, psia _x000D_",Vwi cc6 _x000D_,Voi ccc _x000D_
B02 _x000D_,DDT _x000D_,Constant _x000D_,467 _x000D_,500 _x000D_,200 _x000D_,150 _x000D_
B07 _x000D_,mSWID-2 _x000D_,Constant _x000D_,300 _x000D_,66.7 _x000D_,500 _x000D_,500 _x000D_
BOB _x000D_,DDT _x000D_,Constant _x000D_,300 _x000D_,72.7 _x000D_,500 _x000D_,500 _x000D_
B09 _x000D_,DDT _x000D_,Constant _x000D_,400 _x000D_,100 _x000D_,0 _x000D_,500 _x000D_
BIO _x000D_,DDT _x000D_,Constant _x000D_,400 _x000D_,250 _x000D_,500 _x000D_,500 _x000D_
B04 _x000D_,mSWID-1 _x000D_,Ramped _x000D_,300-50Qd _x000D_,_d _x000D_,500 _x000D_,500 _x000D_
B05 _x000D_,mSWID-1 _x000D_,Ramped _x000D_,300-50Qd _x000D_,_d _x000D_,500 _x000D_,500 _x000D_
B12 _x000D_,SWID-1 _x000D_,Ramped _x000D_,300-50Qd _x000D_,_d _x000D_,500 _x000D_,500 _x000D_
B13 _x000D_,SWID-1 _x000D_,Ramped _x000D_,400-50Qd _x000D_,_d _x000D_,500 _x000D_,500 _x000D_
BBR#3 _x000D_,SWID-2 _x000D_,Constant _x000D_,500 _x000D_,699 _x000D_,500 _x000D_,500 _x000D_
