TABLE 5 
Viscosity of 300 °F Steam Distillation Overheads from 300°F Run B07 and Comparison to Kern River Condensate 
,,,,Viscosity in Centipoise ,,,,
Temp,°C ,Temp,°F ,B07 0-3 ,B07 4-8 ,KR Condensate ,,
25 ,,,77 ,3.52 ,6.02 ,3.44 ,,
48.9 ,,,120 ,1.85 ,3.47 ,1.,89 ,
60 ,,,140 ,1.57 ,2.62 ,1.,38 ,
71.1 160 1.36 2.11 TABLES Molecular Weights of Overheads from Steam ,,,,,,Distillation Runs 1.12 ,,
Distillate # ,300B07,°F ° ,300B08,°F ° 400°F B09 ,400°F BIO ,300-500°F B04 ,300-500°F B12 ,400-500°F Bl3 
1 ,,_b ,17,7 210 ,210 ,_b ,162 ,.c 
2 ,,181 ,_c ,218 ,206 ,232 ,174 ,_c 
3 ,19,5 ,19,4 233 ,218 ,248 ,167 ,_c 
4 ,,204 ,_c ,231 ,223 ,255 ,175 ,185 
5 ,,219 ,207 ,_b ,_b ,269 ,192 ,189 
6 ,224 ,,_c ,257 ,237 ,266 ,196 ,202 
7 ,,_b ,216 ,244 ,239 ,261 ,216 ,208 
8 ,,230 ,_c ,251 ,253 ,,,
9 ,,230 ,221 ,_b ,268 ,,,
10 ,,,_c ,262 ,241 ,,,
11 ,,,225 ,258 ,246 ,,,
12 ,,,_c ,291 ,279 ,,,
13 ,,,231 ,286 ,271 ,,,
14 ,,,_c ,277 ,247 ,,,
15 ,,,236 ,,,,,
Resid ,,,523 ,,,,,

a Values in italics were estimated from gc compositional data, all other values were measured by FPD and/or VPO. 
bJnsufficient sample. <Not measured. 
